date,starting_balance,current_balance
2025-12-16,177.42,177.42
2025-12-16,177.42,177.42
2025-12-17,177.42,177.42
2025-12-17,177.42,177.42
2025-12-17,177.42,177.42
2025-12-17,177.42,177.42
2025-12-17,177.42,177.42
2025-12-17,177.42,177.42
2025-12-17,177.42,177.42
2025-12-18,177.42,177.42
2025-12-17,177.42,177.42
2025-12-17,177.42,177.42
2025-12-17,177.42,177.42
2025-12-17,177.42,177.42
2025-12-17,177.41,177.41
2025-12-18,177.41,177.41
2025-12-18,177.41,177.41
2025-12-18,177.41,177.41
2025-12-18,177.41,177.41
2025-12-18,177.41,177.41
2025-12-19,177.41,177.41
2025-12-19,177.41,177.41
2025-12-19,177.41,177.41
2025-12-19,177.41,177.41
2025-12-19,177.41,177.41
2025-12-19,177.41,177.41
2025-12-20,177.41,177.41
2025-12-20,177.41,177.41
2025-12-20,177.41,177.41
2025-12-20,177.41,177.41
2025-12-20,177.41,177.41
2025-12-20,177.41,177.41
2025-12-21,177.41,177.41
2025-12-21,177.41,177.41
2025-12-21,177.41,177.41
2025-12-21,177.41,177.41
2025-12-21,177.41,177.41
2025-12-22,177.41,177.41
2025-12-22,177.41,177.41
2025-12-22,177.41,177.41
2025-12-22,177.41,177.41
2025-12-22,177.41,177.41
2025-12-22,177.41,177.41
2025-12-23,177.41,177.41
2025-12-23,177.41,177.41
2025-12-23,177.41,177.41
2025-12-23,177.41,177.41
2025-12-23,177.41,177.41
2025-12-23,177.41,177.41
2025-12-24,177.41,177.41
2025-12-24,177.41,177.41
2025-12-24,177.41,177.41
2025-12-24,177.41,177.41
2025-12-24,177.41,177.41
2025-12-24,177.41,177.41
2025-12-25,177.41,177.41
2025-12-25,177.41,177.41
2025-12-25,177.41,177.41
2025-12-25,177.41,177.41
2025-12-25,177.41,177.41
2025-12-25,177.41,177.41
2025-12-26,177.41,177.41
2025-12-26,177.41,177.41
2025-12-26,177.41,177.41
2025-12-26,177.41,177.41
2025-12-26,177.41,177.41
2025-12-26,177.41,177.41
2025-12-27,177.41,177.41
2025-12-27,177.41,177.41
2025-12-27,177.41,177.41
2025-12-27,177.41,177.41
2025-12-27,177.41,177.41
2025-12-27,177.41,177.41
2025-12-27,177.41,177.41
2025-12-27,177.41,177.41
2025-12-27,177.41,177.41
